Season,Tournament Name,Date,Tournament Class,Match,Tab,Team 1 Player 1,Team 1 Player 2,Team 2 Player 1,Team 2 Player 2,Result,Winner Player 1,Winner Player 2
2015/2016,Asker Debutanten,28.11.2015,U9 B,Herresingle,,Nancy Hang,,Halvor Floden,"21/16,21/19",Nancy Hang,
2015/2016,Asker Debutanten,28.11.2015,U9 B,Herresingle,,Rebecca Haukebøe,,Halvor Floden,"21/7,21/8",Rebecca Haukebøe,
2015/2016,Asker Debutanten,28.11.2015,U9 B,Herresingle,,Rebecca Haukebøe,,Nancy Hang,"21/4,21/0",Rebecca Haukebøe,
2015/2016,Asker Debutanten,28.11.2015,U11 B,Herresingle,,Ziyue Wei,,Philip Allport Fossum,"21/12,21/14",Ziyue Wei,
2015/2016,Asker Debutanten,28.11.2015,U11 B,Herresingle,,Ziyue Wei,,Thomas Selnes,"21/8,21/10",Ziyue Wei,
2015/2016,Asker Debutanten,28.11.2015,U11 B,Herresingle,,Armand Bruun,,Lavrans M. Husebø,"21/13,21/19",Armand Bruun,
2015/2016,Asker Debutanten,28.11.2015,U11 B,Herresingle,,Philip Allport Fossum,,Elias H. Godager,"21/8,21/11",Philip Allport Fossum,
2015/2016,Asker Debutanten,28.11.2015,U11 B,Herresingle,,Philip Allport Fossum,,Lavrans M. Husebø,"21/11,21/12",Philip Allport Fossum,
2015/2016,Asker Debutanten,28.11.2015,U11 B,Herresingle,,Tristan Thøgersen,,Armand Bruun,"21/11,21/17",Tristan Thøgersen,
2015/2016,Asker Debutanten,28.11.2015,U11 B,Herresingle,,Tristan Thøgersen,,Lavrans M. Husebø,"21/8,21/7",Tristan Thøgersen,
2015/2016,Asker Debutanten,28.11.2015,U11 B,Herresingle,,Armand Bruun,,Elias H. Godager,"21/13,21/16",Armand Bruun,
2015/2016,Asker Debutanten,28.11.2015,U11 B,Herresingle,,Philip Allport Fossum,,Tristan Thøgersen,"21/13,21/12",Philip Allport Fossum,
2015/2016,Asker Debutanten,28.11.2015,U11 B,Herresingle,,Lavrans M. Husebø,,Elias H. Godager,"21/23,21/19,21/15",Lavrans M. Husebø,
2015/2016,Asker Debutanten,28.11.2015,U11 B,Herresingle,,Tristan Thøgersen,,Elias H. Godager,"23/21,21/12",Tristan Thøgersen,
2015/2016,Asker Debutanten,28.11.2015,U11 B,Herresingle,,Philip Allport Fossum,,Armand Bruun,"21/13,21/10",Philip Allport Fossum,
2015/2016,Asker Debutanten,28.11.2015,U11 B,Herresingle,,Thomas Selnes,,Daniel Fægri,"16/21,21/18,21/16",Thomas Selnes,
2015/2016,Asker Debutanten,28.11.2015,U11 B,Herresingle,,Mikkel Grevsnes,,Lukas Sandboe,"21/12,21/11",Mikkel Grevsnes,
2015/2016,Asker Debutanten,28.11.2015,U11 B,Herresingle,,Thomas Selnes,,Lukas Sandboe,"21/8,21/9",Thomas Selnes,
2015/2016,Asker Debutanten,28.11.2015,U11 B,Herresingle,,Daniel Fægri,,Mikkel Grevsnes,"22/20,21/12",Daniel Fægri,
2015/2016,Asker Debutanten,28.11.2015,U11 B,Herresingle,,Thomas Selnes,,Mikkel Grevsnes,"21/16,17/21,21/18",Thomas Selnes,
2015/2016,Asker Debutanten,28.11.2015,U11 B,Herresingle,,Daniel Fægri,,Lukas Sandboe,"21/16,25/23",Daniel Fægri,
2015/2016,Asker Debutanten,28.11.2015,U11 B,Herresingle,,Aleksander Jakovlevs,,Rasmus Remmem,"21/13,21/18",Aleksander Jakovlevs,
2015/2016,Asker Debutanten,28.11.2015,U11 B,Herresingle,,Ziyue Wei,,Aleksander Jakovlevs,"21/12,21/17",Ziyue Wei,
2015/2016,Asker Debutanten,28.11.2015,U11 B,Herresingle,,Ziyue Wei,,Rasmus Remmem,"21/3,21/16",Ziyue Wei,
2015/2016,Asker Debutanten,28.11.2015,U11 B,Damesingle,,Tilda Sevland Øfsdahl,,Nicoline Wærsten,"21/16,19/21,21/14",Tilda Sevland Øfsdahl,
2015/2016,Asker Debutanten,28.11.2015,U11 B,Damesingle,,Tilda Sevland Øfsdahl,,Amalie Theil,"21/11,23/21",Tilda Sevland Øfsdahl,
2015/2016,Asker Debutanten,28.11.2015,U11 B,Damesingle,,Nicoline Wærsten,,Emilie Haukebøe,"21/17,17/21,21/15",Nicoline Wærsten,
2015/2016,Asker Debutanten,28.11.2015,U11 B,Damesingle,,Nicoline Wærsten,,Mina Korssund,"21/18,21/13",Nicoline Wærsten,
2015/2016,Asker Debutanten,28.11.2015,U11 B,Damesingle,,Tilda Sevland Øfsdahl,,Sofia Garvida,"21/4,21/6",Tilda Sevland Øfsdahl,
2015/2016,Asker Debutanten,28.11.2015,U11 B,Damesingle,,Tilda Sevland Øfsdahl,,Mina Korssund,"21/10,21/18",Tilda Sevland Øfsdahl,
2015/2016,Asker Debutanten,28.11.2015,U11 B,Damesingle,,Nicoline Wærsten,,Sofia Garvida,"21/5,21/6",Nicoline Wærsten,
2015/2016,Asker Debutanten,28.11.2015,U11 B,Damesingle,,Mina Korssund,,Sofia Garvida,"21/3,21/2",Mina Korssund,
2015/2016,Asker Debutanten,28.11.2015,U11 B,Damesingle,,Tilda Sevland Øfsdahl,,Nicoline Wærsten,"21/16,19/21,21/14",Tilda Sevland Øfsdahl,
2015/2016,Asker Debutanten,28.11.2015,U11 B,Damesingle,,Ragne Russnes,,Emilie Lie Cook,"21/12,21/9",Ragne Russnes,
2015/2016,Asker Debutanten,28.11.2015,U11 B,Damesingle,,Amalie Theil,,Emilie Haukebøe,"25/23,21/18",Amalie Theil,
2015/2016,Asker Debutanten,28.11.2015,U11 B,Damesingle,,Emilie Haukebøe,,Ragne Russnes,"21/16,21/9",Emilie Haukebøe,
2015/2016,Asker Debutanten,28.11.2015,U11 B,Damesingle,,Amalie Theil,,Emilie Lie Cook,"21/9,21/12",Amalie Theil,
2015/2016,Asker Debutanten,28.11.2015,U11 B,Damesingle,,Ragne Russnes,,Amalie Theil,"21/15,21/19",Ragne Russnes,
2015/2016,Asker Debutanten,28.11.2015,U11 B,Damesingle,,Emilie Haukebøe,,Emilie Lie Cook,"21/15,21/11",Emilie Haukebøe,
2015/2016,Asker Debutanten,28.11.2015,U13 B,Herresingle,,Nikolai James-Eide,,Eivind Engeseth,"21/17,21/15",Nikolai James-Eide,
2015/2016,Asker Debutanten,28.11.2015,U13 B,Herresingle,,Nikolai James-Eide,,Oscar Dahl Franck,"16/21,21/7,24/22",Nikolai James-Eide,
2015/2016,Asker Debutanten,28.11.2015,U13 B,Herresingle,,Eivind Engeseth,,Leonard Volrath Holmboe,"21/14,22/20",Eivind Engeseth,
2015/2016,Asker Debutanten,28.11.2015,U13 B,Herresingle,,Leonard Volrath Holmboe,,Peter Nikolai Borøy,"21/13,21/11",Leonard Volrath Holmboe,
2015/2016,Asker Debutanten,28.11.2015,U13 B,Herresingle,,Magnus A. Klepper,,Felix Bjerke,"21/7,21/8",Magnus A. Klepper,
2015/2016,Asker Debutanten,28.11.2015,U13 B,Herresingle,,Oscar Dahl Franck,,Edvard Aandahl,"21/7,21/12",Oscar Dahl Franck,
2015/2016,Asker Debutanten,28.11.2015,U13 B,Herresingle,,Edvard Aandahl,,Felix Bjerke,"21/3,21/6",Edvard Aandahl,
2015/2016,Asker Debutanten,28.11.2015,U13 B,Herresingle,,Oscar Dahl Franck,,Magnus A. Klepper,"21/10,21/6",Oscar Dahl Franck,
2015/2016,Asker Debutanten,28.11.2015,U13 B,Herresingle,,Oscar Dahl Franck,,Felix Bjerke,"21/4,21/2",Oscar Dahl Franck,
2015/2016,Asker Debutanten,28.11.2015,U13 B,Herresingle,,Edvard Aandahl,,Magnus A. Klepper,"21/16,21/10",Edvard Aandahl,
2015/2016,Asker Debutanten,28.11.2015,U13 B,Herresingle,,Nikolai James-Eide,,Magnus Linderoth,"21/8,21/11",Nikolai James-Eide,
2015/2016,Asker Debutanten,28.11.2015,U13 B,Herresingle,,Øyvind Vegsund Staver,,Jonas Floden,"21/4,21/4",Øyvind Vegsund Staver,
