Season,Tournament Name,Date,Tournament Class,Tab,Team 1 Player 1,Team 1 Player 2,Team 2 Player 1,Team 2 Player 2,Result,Winner Player 1,Winner Player 2
2019/2020,Stanghelle IL Kraft-Smashen,28.09.2019,SEN A,,Keveen Kumar Balasingam,,Dennis Andersen Moe,"21/8,21/16",Keveen Kumar Balasingam,
2019/2020,Stanghelle IL Kraft-Smashen,28.09.2019,SEN A,,Keveen Kumar Balasingam,,Kjetil Ragde,"21/13,21/12",Keveen Kumar Balasingam,
2019/2020,Stanghelle IL Kraft-Smashen,28.09.2019,SEN A,,Keveen Kumar Balasingam,,Benjamin Teigland,"21/7,21/9",Keveen Kumar Balasingam,
2019/2020,Stanghelle IL Kraft-Smashen,28.09.2019,SEN A,,Benjamin Teigland,,Kjetil Ragde,"20/22,21/14,23/21",Benjamin Teigland,
2019/2020,Stanghelle IL Kraft-Smashen,28.09.2019,SEN A,,Dennis Andersen Moe,,Olav Vatna Selvåg,"21/19,21/18",Dennis Andersen Moe,
2019/2020,Stanghelle IL Kraft-Smashen,28.09.2019,SEN A,,Dennis Andersen Moe,,Erlend Engesæter Bognøy,"21/15,13/21,21/18",Dennis Andersen Moe,
2019/2020,Stanghelle IL Kraft-Smashen,28.09.2019,SEN A,,Erlend Engesæter Bognøy,,Olav Vatna Selvåg,"21/11,21/17",Erlend Engesæter Bognøy,
2019/2020,Stanghelle IL Kraft-Smashen,28.09.2019,SEN A,,Keveen Kumar Balasingam,,Dennis Andersen Moe,"21/8,21/16",Keveen Kumar Balasingam,
2019/2020,Stanghelle IL Kraft-Smashen,28.09.2019,SEN A,,Keveen Kumar Balasingam,,Kjetil Ragde,"21/13,21/12",Keveen Kumar Balasingam,
2019/2020,Stanghelle IL Kraft-Smashen,28.09.2019,SEN A,,Keveen Kumar Balasingam,,Benjamin Teigland,"21/7,21/9",Keveen Kumar Balasingam,
