Season,Tournament Name,Date,Tournament Class,Match,Tab,Team 1 Player 1,Team 1 Player 2,Team 2 Player 1,Team 2 Player 2,Result,Winner Player 1,Winner Player 2
2016/2017,Sandefjord SaBK Ferske Fjes,22.10.2016,SEN A,Herresingle,,Tobias Krømke,,Thor Christian Tallaksen,"21/15,21/13",Tobias Krømke,
2016/2017,Sandefjord SaBK Ferske Fjes,22.10.2016,SEN A,Herresingle,,Carl Christian Møller Jacobsen,,Henrik Smittil Høksnes,"21/11,21/11",Carl Christian Møller Jacobsen,
2016/2017,Sandefjord SaBK Ferske Fjes,22.10.2016,SEN A,Herresingle,,Tobias Krømke,,Carl Christian Møller Jacobsen,"12/21,21/14,21/13",Tobias Krømke,
2016/2017,Sandefjord SaBK Ferske Fjes,22.10.2016,SEN A,Herresingle,,Thor Christian Tallaksen,,Henrik Smittil Høksnes,"21/8,21/13",Thor Christian Tallaksen,
2016/2017,Sandefjord SaBK Ferske Fjes,22.10.2016,SEN A,Herresingle,,Tobias Krømke,,Henrik Smittil Høksnes,"21/6,21/10",Tobias Krømke,
2016/2017,Sandefjord SaBK Ferske Fjes,22.10.2016,SEN A,Herresingle,,Carl Christian Møller Jacobsen,,Thor Christian Tallaksen,"21/23,21/13,21/19",Carl Christian Møller Jacobsen,
2016/2017,Sandefjord SaBK Ferske Fjes,22.10.2016,SEN C,Herresingle,,Peder Markus Runsjø,,Tobias Myhre,"21/7,17/21,21/18",Peder Markus Runsjø,
2016/2017,Sandefjord SaBK Ferske Fjes,22.10.2016,SEN C,Herresingle,,Tobias Myhre,,Thomas Holdbakk,"21/17,21/19",Tobias Myhre,
2016/2017,Sandefjord SaBK Ferske Fjes,22.10.2016,SEN C,Herresingle,,Peder Markus Runsjø,,Tor Martin Treff,"21/16,21/10",Peder Markus Runsjø,
2016/2017,Sandefjord SaBK Ferske Fjes,22.10.2016,SEN C,Herresingle,,Thomas Holdbakk,,Frank Oddvar Nygård,"21/12,21/13",Thomas Holdbakk,
2016/2017,Sandefjord SaBK Ferske Fjes,22.10.2016,SEN C,Herresingle,,Tor Martin Treff,,Jørgen Thorp,"21/12,21/16",Tor Martin Treff,
2016/2017,Sandefjord SaBK Ferske Fjes,22.10.2016,SEN C,Herresingle,,Jørgen Thorp,,Frank Oddvar Nygård,"21/19,21/12",Jørgen Thorp,
2016/2017,Sandefjord SaBK Ferske Fjes,22.10.2016,SEN C,Herresingle,,Thomas Holdbakk,,Tor Martin Treff,"21/15,21/12",Thomas Holdbakk,
2016/2017,Sandefjord SaBK Ferske Fjes,22.10.2016,SEN C,Herresingle,,Tor Martin Treff,,Frank Oddvar Nygård,"21/15,21/10",Tor Martin Treff,
2016/2017,Sandefjord SaBK Ferske Fjes,22.10.2016,SEN C,Herresingle,,Thomas Holdbakk,,Jørgen Thorp,"21/13,21/14",Thomas Holdbakk,
2016/2017,Sandefjord SaBK Ferske Fjes,22.10.2016,SEN C,Herresingle,,Peder Markus Runsjø,,Espen Ditmansen,"21/16,21/15",Peder Markus Runsjø,
2016/2017,Sandefjord SaBK Ferske Fjes,22.10.2016,SEN C,Herresingle,,Svein Brenna,,Vegard Andersen,"20/22,21/9,21/12",Svein Brenna,
2016/2017,Sandefjord SaBK Ferske Fjes,22.10.2016,SEN C,Herresingle,,Peder Markus Runsjø,,Svein Brenna,"21/14,21/8",Peder Markus Runsjø,
2016/2017,Sandefjord SaBK Ferske Fjes,22.10.2016,SEN C,Herresingle,,Tobias Myhre,,Vegard Andersen,"21/8,21/14",Tobias Myhre,
2016/2017,Sandefjord SaBK Ferske Fjes,22.10.2016,SEN C,Herresingle,,Peder Markus Runsjø,,Tobias Myhre,"21/11,21/19",Peder Markus Runsjø,
